Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
12:03 (+1),RE 51073,Berlin Südkreuz (an 12:18),Berlin Gesundbrunnen
12:08 (+4),RE 3509,Berlin Südkreuz (an 12:23),Berlin Gesundbrunnen
12:14,RB 18257,Potsdam Hbf (an 13:23),Berlin Gesundbrunnen
12:19 (+1),IC 2177,Dresden Hbf (an 14:27),Berlin Gesundbrunnen
12:19 (+1),IC 2177,Dresden Hbf (an 14:27),Berlin Gesundbrunnen Bhf
12:23,RE 3618,Perleberg (an 14:51),Berlin Gesundbrunnen
12:24 (+16),RE 3347,Lutherstadt Wittenberg Hbf (an 13:59),Berlin Gesundbrunnen
12:39 (+4),RE 3310,Stralsund Hbf (an 15:41),Berlin Gesundbrunnen
12:40,RE 52824,Berlin Südkreuz (an 12:54),Berlin Gesundbrunnen
12:44 (+20),IC 2474,Ostseebad Binz (an 16:31),Berlin Gesundbrunnen
12:45 (+9),ICE 931,Frankfurt(Main)Hbf (an 16:56),Berlin Gesundbrunnen
12:49 (+2),EC 57,Przeworsk (an 22:12),Berlin Gesundbrunnen
12:55 (+3),RE 4358,Rostock Hbf (an 15:21),Berlin Gesundbrunnen
13:06 Ausfall,RE 4359,Berlin Südkreuz (an 13:23),Berlin Gesundbrunnen
13:06 (+126),RE 4359,Berlin Südkreuz (an 13:23),Berlin Gesundbrunnen Bhf
13:15,RB 18259,Potsdam Hbf (an 14:23),Berlin Gesundbrunnen
13:16,RE 52829,Schwerin Hbf (an 15:47),Berlin Gesundbrunnen
13:23 (+1),RE 3620,Perleberg (an 15:51),Berlin Gesundbrunnen
13:24 Ausfall,RE 3309,Jüterbog (an 14:26),Berlin Gesundbrunnen
13:38 (+1),RE 3348,Angermünde (an 14:28),Berlin Gesundbrunnen
13:43 (+6),IC 2178,Rostock Hbf (an 15:37),Berlin Gesundbrunnen
13:43 (+5),IC 2178,Rostock Hbf (an 15:37),Berlin Gesundbrunnen Bhf
13:49 (+1),EC 49,Warszawa Wschodnia (an 19:16),Berlin Gesundbrunnen
13:49 Ausfall,ICE 1074,Ostseebad Binz (an 17:33),Berlin Gesundbrunnen
13:49,RE 51074,Prenzlau (an 14:58),Berlin Gesundbrunnen
13:55 (+95),RE 3512,Stralsund Hbf (an 16:51),Berlin Gesundbrunnen
14:04 (+1),RE 3511,Berlin Südkreuz (an 14:21),Berlin Gesundbrunnen
14:13,RB 18261,Potsdam Hbf (an 15:23),Berlin Gesundbrunnen
14:18 (+120),IC 2179,Dresden Hbf (an 16:27),Berlin Gesundbrunnen Bhf
14:18 (+120),IC 2179,Dresden Hbf (an 16:27),Berlin Gesundbrunnen
14:23,RE 3622,Perleberg (an 16:51),Berlin Gesundbrunnen
14:24 (+11),RE 3349,Lutherstadt Wittenberg Hbf (an 15:59),Berlin Gesundbrunnen
14:39 (+1),RE 3312,Stralsund Hbf (an 17:41),Berlin Gesundbrunnen
14:40,RE 52826,Berlin Südkreuz (an 14:54),Berlin Gesundbrunnen
14:40,RE 73712,Berlin Südkreuz (an 14:54),Berlin Gesundbrunnen
14:40 (+30),RE 73884,Berlin Südkreuz (an 14:54),Berlin Gesundbrunnen
14:49 (+1),EC 231,Gdynia Glowna (an 20:50),Berlin Gesundbrunnen
14:55 (+1),RE 4360,Rostock Hbf (an 17:21),Berlin Gesundbrunnen
15:06,RE 3336,Angermünde (an 15:54),Berlin Gesundbrunnen
15:06 (+57),RE 4361,Berlin Südkreuz (an 15:23),Berlin Gesundbrunnen
15:07 (+1),RE 18760,Lübbenau(Spreewald) (an 16:14),Berlin Gesundbrunnen
15:14,RB 18263,Potsdam Hbf (an 16:23),Berlin Gesundbrunnen
15:17 (+7),FLX 1245,Stuttgart Central Station (an 21:19),Berlin Gesundbrunnen
15:17 (+22),RE 52831,Schwerin Hbf (an 17:47),Berlin Gesundbrunnen Bhf
15:17,RE 52831,Schwerin Hbf (an 17:47),Berlin Gesundbrunnen
15:20 (+32),IC 2479,Leipzig Hbf (an 18:16),Berlin Gesundbrunnen
15:20 (+24),IC 2479,Leipzig Hbf (an 18:16),Berlin Gesundbrunnen Bhf
15:24 (+13),RE 3311,Jüterbog (an 16:26),Berlin Gesundbrunnen
