Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
12:32 (+1),ICE 548,Düsseldorf Hbf (an 17:08),Berlin Ostbahnhof
12:32,ICE 615,Düsseldorf Hbf (an 17:08),Berlin Ostbahnhof
12:35 (+2),RE 3116,Cottbus Hbf (an 13:55),Berlin Ostbahnhof
12:49,RE 73733,Magdeburg Hbf (an 14:47),Berlin Ostbahnhof
12:53 (+1),ICE 1546,Düsseldorf Hbf (an 17:51),Berlin Ostbahnhof
12:53,RE 62014,Flughafen BER (an 13:15),Berlin Ostbahnhof
12:58 (+3),RE 3718,Senftenberg (an 14:41),Berlin Ostbahnhof
13:02 (+8),EC 57,Debica (an 21:20),Berlin Ostbahnhof
13:02 (+14),RE 3723,Dessau Hbf (an 14:53),Berlin Ostbahnhof
13:07,RE 62019,Schwerin Hbf (an 15:57),Berlin Ostbahnhof
13:10,RE 73728,Eisenhüttenstadt (an 14:22),Berlin Ostbahnhof
13:25 (+5),RE 3119,Nauen (an 14:21),Berlin Ostbahnhof
13:25,RE 73770,Frankfurt(Oder) (an 14:31),Berlin Ostbahnhof
13:30,RE 73775,Brandenburg Hbf (an 14:38),Berlin Ostbahnhof
13:32 (+2),ICE 848,Köln Hbf (an 18:32),Berlin Ostbahnhof
13:32 (+2),ICE 858,Köln Hbf (an 18:40),Berlin Ostbahnhof
13:35 (+1),RE 3118,Cottbus Hbf (an 14:55),Berlin Ostbahnhof
13:49,RE 73735,Magdeburg Hbf (an 15:47),Berlin Ostbahnhof
13:53 Ausfall,IC 142,Amsterdam Centraal (an 19:59),Berlin Ostbahnhof
13:53,IC 2942,Rheine (an 17:33),Berlin Ostbahnhof
13:53,RE 62016,Flughafen BER (an 14:15),Berlin Ostbahnhof
13:58 (+16),RE 3720,Senftenberg (an 15:41),Berlin Ostbahnhof
14:02 (+1),EC 49,Warszawa Wschodnia (an 19:16),Berlin Ostbahnhof
14:02,RE 3725,Dessau Hbf (an 15:53),Berlin Ostbahnhof
14:07,RE 62021,Wittenberge (an 15:57),Berlin Ostbahnhof
14:10,RE 73730,Cottbus Hbf (an 16:05),Berlin Ostbahnhof
14:19 (+1),ICE 375,Basel SBB (an 21:49),Berlin Ostbahnhof
14:25 (+10),RE 3121,Nauen (an 15:21),Berlin Ostbahnhof
14:25,RE 73772,Frankfurt(Oder) (an 15:31),Berlin Ostbahnhof
14:30,RE 73777,Brandenburg Hbf (an 15:38),Berlin Ostbahnhof
14:35,RE 3120,Cottbus Hbf (an 15:55),Berlin Ostbahnhof
14:44 (+14),ICE 546,Köln Hbf (an 19:36),Berlin Ostbahnhof
14:44 (+14),ICE 556,Koblenz Hbf (an 20:39),Berlin Ostbahnhof
14:49,RE 73737,Magdeburg Hbf (an 16:47),Berlin Ostbahnhof
14:53,RE 62018,Flughafen BER (an 15:15),Berlin Ostbahnhof
14:54 (+1),ICE 750,Aachen Hbf (an 20:52),Berlin Ostbahnhof
14:58 (+6),RE 3722,Senftenberg (an 16:41),Berlin Ostbahnhof
14:59 (+10),EC 56,Berlin Hbf (an 15:06),Berlin Ostbahnhof
15:02 (+1),EC 231,Gdynia Glowna (an 20:50),Berlin Ostbahnhof
15:02 (+4),RE 3727,Dessau Hbf (an 16:53),Berlin Ostbahnhof
15:07 (+7),RE 62023,Schwerin Hbf (an 17:57),Berlin Ostbahnhof
15:10,RE 73732,Frankfurt(Oder) (an 16:05),Berlin Ostbahnhof
15:25,RE 3123,Nauen (an 16:21),Berlin Ostbahnhof
15:25,RE 73774,Frankfurt(Oder) (an 16:31),Berlin Ostbahnhof
15:30,RE 73779,Brandenburg Hbf (an 16:38),Berlin Ostbahnhof
15:32 (+1),ICE 846,Mönchengladbach Hbf (an 20:42),Berlin Ostbahnhof
15:32 (+1),ICE 856,Köln Hbf (an 20:43),Berlin Ostbahnhof
