Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
13:18 (+4),RE 3152,Rathenow (ab 12:03),Berlin-Lichterfelde Ost
13:37 (+4),RE 3175,Brandenburg Hbf (ab 09:20),Berlin-Lichterfelde Ost
13:48 (+5),RE 3309,Stralsund Hbf (ab 10:17),Berlin-Lichterfelde Ost
14:17 (+1),RE 3312,Lutherstadt Wittenberg Hbf (ab 12:59),Berlin-Lichterfelde Ost
14:18,RE 3172,Frankfurt(Oder) (ab 10:26),Berlin-Lichterfelde Ost
14:38 (+79),RE 3155,Falkenberg(Elster) (ab 13:14),Berlin-Lichterfelde Ost
14:46 (+1),RE 3349,Angermünde (ab 13:33),Berlin-Lichterfelde Ost
15:11 (+2),RE 3350,Luckenwalde (ab 14:39),Berlin-Lichterfelde Ost
15:18,RE 3154,Fangschleuse (ab 00:03),Berlin-Lichterfelde Ost
15:37,RE 3177,Jüterbog (ab 15:03),Berlin-Lichterfelde Ost
15:48 (+3),RE 3311,Stralsund Hbf (ab 12:17),Berlin-Lichterfelde Ost
16:17 Ausfall,RE 3314,Lutherstadt Wittenberg Hbf (ab 14:59),Berlin-Lichterfelde Ost
16:19,RE 3174,Frankfurt(Oder) (ab 11:26),Berlin-Lichterfelde Ost
16:38,RE 3157,Falkenberg(Elster) (ab 15:14),Berlin-Lichterfelde Ost
16:46 (+2),RE 3351,Angermünde (ab 15:33),Berlin-Lichterfelde Ost
17:14 (+1),RE 3352,Jüterbog (ab 16:33),Berlin-Lichterfelde Ost
17:18 (+1),RE 3156,Rathenow (ab 16:03),Berlin-Lichterfelde Ost
17:37,RE 3179,Brandenburg Hbf (ab 11:20),Berlin-Lichterfelde Ost
17:48 (+2),RE 3313,Stralsund Hbf (ab 14:17),Berlin-Lichterfelde Ost
18:17 (+3),RE 3316,Lutherstadt Wittenberg Hbf (ab 16:59),Berlin-Lichterfelde Ost
18:18 (+1),RE 3176,Rathenow (ab 17:07),Berlin-Lichterfelde Ost
18:38 (+1),RE 3159,Falkenberg(Elster) (ab 17:14),Berlin-Lichterfelde Ost
18:46 (+2),RE 3353,Schwedt(Oder) (ab 17:06),Berlin-Lichterfelde Ost
19:14 (+7),RE 3354,Jüterbog (ab 18:33),Berlin-Lichterfelde Ost
19:18 (+1),RE 3158,Rathenow (ab 18:03),Berlin-Lichterfelde Ost
19:37 (+5),RE 3181,Jüterbog (ab 19:03),Berlin-Lichterfelde Ost
19:47 (+2),RE 3315,Stralsund Hbf (ab 16:17),Berlin-Lichterfelde Ost
20:17,RE 3318,Lutherstadt Wittenberg Hbf (ab 18:59),Berlin-Lichterfelde Ost
20:18,RE 3178,Rathenow (ab 19:07),Berlin-Lichterfelde Ost
20:38 (+7),RE 3161,Falkenberg(Elster) (ab 19:14),Berlin-Lichterfelde Ost
20:46,RE 3355,Schwedt(Oder) (ab 19:06),Berlin-Lichterfelde Ost
21:11 (+1),RE 3356,Ludwigsfelde (ab 20:56),Berlin-Lichterfelde Ost
21:19 (+1),RE 3160,Rathenow (ab 20:03),Berlin-Lichterfelde Ost
21:37 (+1),RE 3183,Jüterbog (ab 21:03),Berlin-Lichterfelde Ost
21:48,RE 3317,Stralsund Hbf (ab 18:17),Berlin-Lichterfelde Ost
22:16 (+10),RE 3320,Lutherstadt Wittenberg Hbf (ab 20:59),Berlin-Lichterfelde Ost
22:18,RE 3180,Rathenow (ab 21:07),Berlin-Lichterfelde Ost
22:45,RE 3357,Schwedt(Oder) (ab 21:06),Berlin-Lichterfelde Ost
22:48 (+1),RE 3185,Jüterbog (ab 22:03),Berlin-Lichterfelde Ost
23:47,RE 3319,Stralsund Hbf (ab 20:17),Berlin-Lichterfelde Ost
