Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
20:15 Ausfall,ICE 704,München Hbf (ab 15:13),Berlin Südkreuz
20:22 (+1),RE 3318,Lutherstadt Wittenberg Hbf (ab 19:05),Berlin Südkreuz
20:25 (+20),ICE 596,München Hbf (ab 12:46),Berlin Südkreuz
20:32 (+16),ICE 1607,Hamburg-Altona (ab 18:18),Berlin Südkreuz
20:39 (+1),RE 3355,Schwedt(Oder) (ab 19:06),Berlin Südkreuz
20:43,RE 3161,Falkenberg(Elster) (ab 19:14),Berlin Südkreuz
20:46 (+13),ICE 794,Frankfurt(M) Flughafen Fernbf (ab 16:09),Berlin Südkreuz
20:48,ICE 1104,Nürnberg Hbf (ab 18:01),Berlin Südkreuz
20:52 (+3),ICE 834,Frankfurt(Main)Hbf (ab 17:02),Berlin Südkreuz
20:54 Ausfall,RB 18531,Nauen (ab 20:08),Berlin Südkreuz
21:02 (+1),RE 62083,Finsterwalde(Niederlausitz) (ab 19:24),Berlin Südkreuz
21:17,RE 3356,Ludwigsfelde (ab 20:56),Berlin Südkreuz
21:17,RE 3372,Ludwigsfelde (ab 20:56),Berlin Südkreuz
21:22 (+12),ICE 502,München Hbf (ab 16:49),Berlin Südkreuz
21:31 (+16),ICE 699,Hamburg-Altona (ab 19:20),Berlin Südkreuz
21:45,RE 3359,Berlin Hbf (ab 21:37),Berlin Südkreuz
21:54 Ausfall,RB 18533,Nauen (ab 21:08),Berlin Südkreuz
21:59,RE 62085,Elsterwerda (ab 20:05),Berlin Südkreuz
22:22 (+10),RE 3320,Lutherstadt Wittenberg Hbf (ab 21:00),Berlin Südkreuz
22:24 Ausfall,RB 18535,Nauen (ab 21:39),Berlin Südkreuz
22:25 (+32),ICE 594,München Hbf (ab 14:46),Berlin Südkreuz
22:31,IC 495,Berlin Hbf (ab 22:26),Berlin Südkreuz
22:38,RE 3357,Schwedt(Oder) (ab 21:06),Berlin Südkreuz
22:50 Ausfall,ICE 832,Frankfurt(Main)Hbf (ab 19:02),Berlin Südkreuz
23:24 Ausfall,RB 18537,Nauen (ab 22:39),Berlin Südkreuz
23:25 (+2),ICE 500,München Hbf (ab 18:50),Berlin Südkreuz
23:41,RE 3319,Stralsund Hbf (ab 20:16),Berlin Südkreuz
