Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
17:47 (+1),RE 51070,Berlin Südkreuz (ab 17:35),Berlin Gesundbrunnen
17:50,RE 3333,Eberswalde Hbf (ab 17:17),Berlin Gesundbrunnen
17:53 (+1),RE 3516,Berlin Südkreuz (ab 17:34),Berlin Gesundbrunnen
17:56,FEX19852,Rangsdorf (ab 16:51),Berlin Gesundbrunnen
18:01 (+1),RE 3515,Burg Stargard(Meckl) (ab 16:38),Berlin Gesundbrunnen
18:08 Ausfall,ICE 1715,Ostseebad Binz (ab 14:21),Berlin Gesundbrunnen
18:08,RE 51715,Prenzlau (ab 16:55),Berlin Gesundbrunnen
18:17 (+8),IC 2273,Warnemünde (ab 15:52),Berlin Gesundbrunnen
18:22 (+6),RE 3353,Schwedt(Oder) (ab 17:06),Berlin Gesundbrunnen
18:28,FEX19854,Ludwigsfelde (ab 17:39),Berlin Gesundbrunnen
18:37 (+8),RE 3316,Lutherstadt Wittenberg Hbf (ab 17:00),Berlin Gesundbrunnen
18:40 (+7),RB 18266,Potsdam Hbf (ab 17:36),Berlin Gesundbrunnen
18:43 (+32),ICE 2378,Karlsruhe Hbf (ab 12:51),Berlin Gesundbrunnen
18:50,RE 3537,Angermünde (ab 18:03),Berlin Gesundbrunnen
18:53,RE 4364,Berlin Südkreuz (ab 18:36),Berlin Gesundbrunnen
18:57,FEX19856,Rangsdorf (ab 17:47),Berlin Gesundbrunnen
19:04 (+24),RE 4365,Rostock Hbf (ab 16:34),Berlin Gesundbrunnen
19:10,RB 18169,Golm (ab 18:30),Berlin Gesundbrunnen
19:22,RE 3315,Stralsund Hbf (ab 16:16),Berlin Gesundbrunnen
19:27,FEX19858,Ludwigsfelde (ab 18:32),Berlin Gesundbrunnen
19:39 (+4),RB 18268,Potsdam Hbf (ab 18:36),Berlin Gesundbrunnen
19:42 (+12),IC 2172,Dresden Hbf (ab 17:13),Berlin Gesundbrunnen
19:52 (+12),RE 3518,Berlin Südkreuz (ab 19:36),Berlin Gesundbrunnen
