Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
16:49 (+1),ICE 708,Kiel Hbf (an 20:22),Berlin-Spandau
16:52 (+3),RE 3156,Falkenberg(Elster) (an 18:34),Berlin-Spandau
16:56 (+4),RE 3125,Hennigsdorf(b Berlin) (an 17:23),Berlin-Spandau
16:58 (+5),RB 18623,Berlin Südkreuz (an 17:17),Berlin-Spandau
17:00 (+7),ICE 544,Köln Hbf (an 21:33),Berlin-Spandau
17:03 (+9),RB 18622,Wustermark (an 17:19),Berlin-Spandau
17:04 (+7),RE 3126,Cottbus Hbf (an 18:55),Berlin-Spandau
17:08 (+9),RE 3157,Rathenow (an 17:55),Berlin-Spandau
17:12 (+8),ICE 801,München Hbf (an 22:43),Berlin-Spandau
17:13 (+1),ICE 2914,Köln Hbf (an 21:28),Berlin-Spandau
17:13 Ausfall,ICE 554,Köln Hbf (an 21:28),Berlin-Spandau
17:18 (+5),ICE 370,Berlin Ostbahnhof (an 17:41),Berlin-Spandau
17:23,RE 62024,Flughafen BER (an 18:15),Berlin-Spandau
17:27 (+3),RB 18264,Berlin Gesundbrunnen (an 17:39),Berlin-Spandau
17:30,RB 18267,Potsdam Hbf (an 18:23),Berlin-Spandau
17:32 (+2),IC 147,Berlin Ostbahnhof (an 18:02),Berlin-Spandau
17:35,ICE 995,Frankfurt(Main)Hbf (an 21:40),Berlin-Spandau
17:38,RE 62027,Elstal (an 17:52),Berlin-Spandau
17:48 (+5),ICE 506,Hamburg Hbf (an 20:11),Berlin-Spandau
17:48 (+20),ICE 9591,Berlin Ostbahnhof (an 18:16),Berlin-Spandau
17:51 (+9),ICE 1154,Bonn Hbf (an 22:13),Berlin-Spandau
17:51,RE 3176,Jüterbog (an 18:56),Berlin-Spandau
17:56 (+1),RE 3127,Hennigsdorf(b Berlin) (an 18:23),Berlin-Spandau
17:57 (+2),RB 18625,Berlin Südkreuz (an 18:16),Berlin-Spandau
18:00 (+35),ICE 2945,Berlin Ostbahnhof (an 18:28),Berlin-Spandau
18:00 (+3),ICE 844,Köln Hbf (an 22:33),Berlin-Spandau
18:00 (+3),ICE 854,Köln Hbf (an 22:20),Berlin-Spandau
18:00 Ausfall,ICE 941,Berlin Ostbahnhof (an 18:28),Berlin-Spandau
18:00 Ausfall,ICE 951,Berlin Ostbahnhof (an 18:28),Berlin-Spandau
18:03 (+2),RB 18624,Wustermark (an 18:19),Berlin-Spandau
18:04 (+5),RE 3128,Cottbus Hbf (an 19:55),Berlin-Spandau
18:09,RE 26117,Stendal Hbf (an 19:27),Berlin-Spandau
18:09 (+1),RE 3179,Stendal Hbf (an 19:27),Berlin-Spandau
18:12 (+4),ICE 1605,München Hbf (an 23:05),Berlin-Spandau
18:12 (+4),ICE 1705,Jena-Göschwitz (an 21:04),Berlin-Spandau
18:22,RE 62026,Flughafen BER (an 19:15),Berlin-Spandau
18:24 (+21),ICE 796,Berlin Südkreuz (an 18:46),Berlin-Spandau
18:26 (+1),ICE 742,Münster(Westf)Hbf (an 21:35),Berlin-Spandau
18:28,RB 18266,Berlin Gesundbrunnen (an 18:41),Berlin-Spandau
18:30,RB 18269,Potsdam Hbf (an 19:23),Berlin-Spandau
18:32 (+16),ICE 1051,Berlin Ostbahnhof (an 19:04),Berlin-Spandau
18:38,RE 62029,Elstal (an 18:52),Berlin-Spandau
18:45 (+4),ICE 877,Frankfurt(Main)Hbf (an 22:44),Berlin-Spandau
18:49 (+3),ICE 706,Hamburg Hbf (an 21:09),Berlin-Spandau
18:52 (+17),RE 3158,Falkenberg(Elster) (an 20:34),Berlin-Spandau
18:56,RE 3129,Hennigsdorf(b Berlin) (an 19:23),Berlin-Spandau
18:58,RB 18627,Berlin Südkreuz (an 19:18),Berlin-Spandau
19:00 (+2),ICE 542,Köln Hbf (an 23:41),Berlin-Spandau
19:00 (+2),ICE 552,Köln Hbf (an 23:39),Berlin-Spandau
19:00 (+46),ICE 641,Berlin Ostbahnhof (an 19:27),Berlin-Spandau
19:00 (+46),ICE 651,Berlin Ostbahnhof (an 19:13),Berlin-Spandau
19:03,RB 18626,Wustermark (an 19:18),Berlin-Spandau
19:04 (+8),RE 3130,Cottbus Hbf (an 20:55),Berlin-Spandau
19:08 (+2),RE 3159,Rathenow (an 19:55),Berlin-Spandau
19:13 (+2),ICE 803,Nürnberg Hbf (an 23:09),Berlin-Spandau
19:17 (+24),ICE 278,Berlin Ostbahnhof (an 19:41),Berlin-Spandau
19:23,RE 62028,Flughafen BER (an 20:15),Berlin-Spandau
19:27 (+1),RB 18268,Berlin Gesundbrunnen (an 19:39),Berlin-Spandau
19:30 (+2),RB 18271,Potsdam Hbf (an 20:23),Berlin-Spandau
