Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
20:27 (+20),ICE 943,Düsseldorf Hbf (ab 15:50),Berlin Ostbahnhof
20:27 (+20),ICE 953,Köln Hbf (ab 15:45),Berlin Ostbahnhof
20:29,RE 73789,Pillgram (ab 19:35),Berlin Ostbahnhof
20:33,RE 3132,Nauen (ab 19:37),Berlin Ostbahnhof
20:33,RE 92824,Nauen (ab 19:37),Berlin Ostbahnhof
20:38,EC 170,Praha hl.n. (ab 16:28),Berlin Ostbahnhof
20:45,RE 73826,Berlin Zoologischer Garten (ab 20:28),Berlin Ostbahnhof
20:48,RE 73749,Fürstenwalde(Spree) (ab 20:12),Berlin Ostbahnhof
20:52,RE 62030,Wismar (ab 17:24),Berlin Ostbahnhof
20:56 (+1),RE 3734,Dessau Hbf (ab 19:05),Berlin Ostbahnhof
21:00 (+3),RE 3739,Senftenberg (ab 19:14),Berlin Ostbahnhof
21:06,RE 62035,Flughafen BER (ab 20:44),Berlin Ostbahnhof
21:06,RE 94806,Flughafen BER (ab 20:44),Berlin Ostbahnhof
21:09,RE 73744,Magdeburg Hbf (ab 19:12),Berlin Ostbahnhof
21:23,RE 3135,Cottbus Hbf (ab 20:04),Berlin Ostbahnhof
21:24,RE 73786,Brandenburg Hbf (ab 20:19),Berlin Ostbahnhof
21:28 (+24),ICE 643,Düsseldorf Hbf (ab 16:51),Berlin Ostbahnhof
21:28 (+24),ICE 653,Köln Hbf (ab 16:44),Berlin Ostbahnhof
21:29,RE 73791,Pillgram (ab 20:35),Berlin Ostbahnhof
21:33,RE 3134,Nauen (ab 20:37),Berlin Ostbahnhof
21:34,RB 18172,Flughafen BER (ab 21:14),Berlin Ostbahnhof
21:42 Ausfall,ICE 276,Basel SBB (ab 14:13),Berlin Ostbahnhof
21:52,RE 62032,Wittenberge (ab 20:06),Berlin Ostbahnhof
21:56 (+1),RE 3736,Dessau Hbf (ab 20:05),Berlin Ostbahnhof
22:02 (+39),IC 241,Amsterdam Centraal (ab 16:00),Berlin Ostbahnhof
22:02,RE 3741,Senftenberg (ab 20:14),Berlin Ostbahnhof
22:07,RE 62037,Flughafen BER (ab 21:44),Berlin Ostbahnhof
22:09,RE 73746,Magdeburg Hbf (ab 20:12),Berlin Ostbahnhof
22:20,RB 18175,Berlin-Charlottenburg (ab 22:00),Berlin Ostbahnhof
22:23,RE 3137,Cottbus Hbf (ab 21:04),Berlin Ostbahnhof
22:24,RE 73788,Brandenburg Hbf (ab 21:19),Berlin Ostbahnhof
22:29,RE 73793,Burg(Magdeburg) (ab 00:17),Berlin Ostbahnhof
22:36 (+1),ICE 945,Düsseldorf Hbf (ab 17:50),Berlin Ostbahnhof
22:36 (+1),ICE 955,Köln Hbf (ab 17:45),Berlin Ostbahnhof
22:40,ICE 609,Hamburg-Altona (ab 20:17),Berlin Ostbahnhof
22:41 Ausfall,ES 452,Praha hl.n. (ab 18:02),Berlin Ostbahnhof
22:43 (+1),ICE 792,Frankfurt(M) Flughafen Fernbf (ab 18:09),Berlin Ostbahnhof
22:49,RE 73827,Fürstenwalde(Spree) (ab 22:13),Berlin Ostbahnhof
22:52,RE 62034,Wismar (ab 19:24),Berlin Ostbahnhof
22:56,RE 3738,Dessau Hbf (ab 21:05),Berlin Ostbahnhof
23:01,RE 3136,Nauen (ab 22:08),Berlin Ostbahnhof
23:06,RE 62039,Flughafen BER (ab 22:44),Berlin Ostbahnhof
23:06,RE 73748,Magdeburg Hbf (ab 21:06),Berlin Ostbahnhof
23:10,ICE 1276,Frankfurt(Main)Hbf (ab 18:17),Berlin Ostbahnhof
23:15 (+8),ICE 645,Düsseldorf Hbf (ab 18:51),Berlin Ostbahnhof
23:15 (+8),ICE 655,Köln Hbf (ab 18:45),Berlin Ostbahnhof
23:21,RB 18177,Berlin-Charlottenburg (ab 23:01),Berlin Ostbahnhof
23:22,RE 3139,Cottbus Hbf (ab 22:03),Berlin Ostbahnhof
23:29,RE 73795,Pillgram (ab 22:33),Berlin Ostbahnhof
23:34,RB 18176,Flughafen BER (ab 23:14),Berlin Ostbahnhof
23:41 (+1),ICE 274,Basel SBB (ab 16:13),Berlin Ostbahnhof
23:51,RE 73829,Fürstenwalde(Spree) (ab 23:13),Berlin Ostbahnhof
23:52,RE 62036,Wittenberge (ab 22:06),Berlin Ostbahnhof
23:56,RE 3740,Dessau Hbf (ab 22:05),Berlin Ostbahnhof
