Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
11:10 (+1),ICE 705,Hamburg Hbf (ab 09:36),Berlin-Spandau
11:15,ICE 270,Offenburg (ab 05:17),Berlin-Spandau
11:15 (+1),ICE 934,Darmstadt Hbf (ab 06:37),Berlin-Spandau
11:21,RE 62012,Wittenberge (ab 10:06),Berlin-Spandau
11:22 (+1),RB 18512,Berlin Südkreuz (ab 11:02),Berlin-Spandau
11:26,RB 18252,Potsdam Hbf (ab 10:36),Berlin-Spandau
11:28 (+1),RB 18255,Berlin Gesundbrunnen (ab 11:17),Berlin-Spandau
11:30 (+15),IC 141,Amsterdam Centraal (ab 06:00),Berlin-Spandau
11:32 (+3),ICE 795,Berlin Südkreuz (ab 11:07),Berlin-Spandau
11:33,RB 18513,Nauen (ab 11:08),Berlin-Spandau
11:36 (+1),RE 62015,Flughafen BER (ab 10:44),Berlin-Spandau
11:46 (+33),ICE 1136,Frankfurt(Main)Hbf (ab 08:02),Berlin-Spandau
11:46,ICE 602,München Hbf (ab 06:49),Berlin-Spandau
11:49 (+44),RE 3170,Stendal Hbf (ab 10:44),Berlin-Spandau
11:54,RE 3115,Cottbus Hbf (ab 10:04),Berlin-Spandau
11:56,RB 18613,Nauen (ab 11:22),Berlin-Spandau
11:58,ICE 845,Köln Hbf (ab 07:26),Berlin-Spandau
11:58,ICE 855,Köln Hbf (ab 07:45),Berlin-Spandau
11:58 (+2),ICE 940,Berlin Ostbahnhof (ab 11:32),Berlin-Spandau
11:58 (+2),ICE 950,Berlin Ostbahnhof (ab 11:32),Berlin-Spandau
12:00,RB 18612,Ludwigsfelde (ab 10:32),Berlin-Spandau
12:02,RE 3116,Nauen (ab 11:37),Berlin-Spandau
12:07 (+2),RE 3173,Jüterbog (ab 11:03),Berlin-Spandau
12:10 (+3),ICE 509,Hamburg Hbf (ab 10:30),Berlin-Spandau
12:21 (+1),RE 62014,Wismar (ab 09:24),Berlin-Spandau
12:22 (+3),ICE 994,Frankfurt(M) Flughafen Fernbf (ab 08:09),Berlin-Spandau
12:22 (+1),RB 18514,Berlin Südkreuz (ab 12:02),Berlin-Spandau
12:24 (+1),IC 144,S+U Gesundbrunnen Bhf (ab 12:07),Berlin-Spandau
12:27 (+1),RB 18254,Potsdam Hbf (ab 11:36),Berlin-Spandau
12:28 (+2),RB 18257,Berlin Gesundbrunnen (ab 12:14),Berlin-Spandau
12:33,RB 18515,Nauen (ab 12:08),Berlin-Spandau
12:36 (+6),RE 62017,Flughafen BER (ab 11:44),Berlin-Spandau
12:43 (+1),ICE 373,Berlin Ostbahnhof (ab 12:17),Berlin-Spandau
12:45,ICE 802,München Hbf (ab 07:13),Berlin-Spandau
12:47 (+2),ICE 545,Köln Hbf (ab 08:26),Berlin-Spandau
12:47 (+2),ICE 555,Köln Hbf (ab 08:45),Berlin-Spandau
12:49,FLX 1232,Dresden Hbf (ab 10:17),Berlin-Spandau
12:50,RE 3152,Rathenow (ab 12:02),Berlin-Spandau
12:54,RE 3117,Cottbus Hbf (ab 11:04),Berlin-Spandau
12:56,RB 18615,Nauen (ab 12:27),Berlin-Spandau
13:00 (+3),RB 18614,Ludwigsfelde (ab 11:39),Berlin-Spandau
13:02,RE 3118,Nauen (ab 12:37),Berlin-Spandau
13:06 (+3),RE 3153,Falkenberg(Elster) (ab 11:14),Berlin-Spandau
13:10 (+2),ICE 548,Berlin Ostbahnhof (ab 12:38),Berlin-Spandau
13:10 (+2),ICE 558,Berlin Ostbahnhof (ab 12:38),Berlin-Spandau
13:10 (+1),ICE 707,Hamburg Hbf (ab 11:36),Berlin-Spandau
