Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
19:18,19:18,RE 3130,Hennigsdorf(b Berlin) (ab 18:34),1
19:29,19:29,RE 73781,Brandenburg Hbf (ab 18:44),2
19:29,19:29,RE 73786,Frankfurt(Oder) (ab 18:07),4
19:38 (+33),20:11,RE 3732,Dessau Hbf (ab 18:05),2
19:46 (+6),19:52,RB 73822,Berlin Ostbahnhof (ab 19:30),3
19:51 (+4),19:55,RE 73741,Magdeburg Hbf (ab 18:12),2
20:07,20:07,RE 73746,Frankfurt(Oder) (ab 18:38),4
20:18,20:18,RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:29,20:29,RE 73783,Brandenburg Hbf (ab 19:44),2
20:29,20:29,RE 73788,Frankfurt(Oder) (ab 19:07),4
20:33 (+15),20:48,ICE 2863,Hamburg Dammtor (ab 06:06),3
20:33 (+15),20:48,ICE 679,Berlin Ostbahnhof (ab 20:14),
20:33 (+28),21:01,ICE 794,Karlsruhe Hbf (ab 14:40),1
20:38,20:38,ICE 540,Berlin Ostbahnhof (ab 20:20),3
20:38,20:38,RE 3734,Dessau Hbf (ab 19:05),2
20:45,20:45,ICE 1055,Köln Hbf (ab 15:36),2
21:09,21:09,RE 73748,Frankfurt(Oder) (ab 19:42),4
21:11 (+26),21:37,ICE 643,Köln Hbf (ab 16:26),1
21:25 (+17),21:42,ICE 278,Basel SBB (ab 14:16),1
21:29,21:29,RE 73785,Brandenburg Hbf (ab 20:44),2
21:38,21:38,RE 3736,Dessau Hbf (ab 20:05),2
21:51,21:51,ICE 840,Berlin Ostbahnhof (ab 21:32),3
21:51,21:51,RE 73745,Magdeburg Hbf (ab 20:12),2
22:12 (+6),22:18,ICE 945,Köln Hbf (ab 17:24),2
22:24,22:24,EC 40,Warszawa Wschodnia (ab 16:49),4
22:29,22:29,RE 73787,Brandenburg Hbf (ab 21:44),
22:33 (+7),22:40,ICE 792,Frankfurt(Main)Süd (ab 18:20),1
22:33,22:33,RB 18136,Frankfurt(Main)Süd (ab 18:20),1
22:38 (+32),23:10,RE 3738,Dessau Hbf (ab 21:05),
22:46 (+1),22:47,RE 3136,Hennigsdorf(b Berlin) (ab 22:02),1
22:51 (+1),22:52,RE 73747,Jacobsdorf(Mark) (ab 00:05),
23:01 (+12),23:13,RE 73792,Güsen(b Genthin) (ab 00:23),
23:10 (+38),23:48,ICE 645,Köln Hbf (ab 18:25),1
23:14,23:14,RB 73824,Fürstenwalde(Spree) (ab 22:15),
23:20 (+24),23:44,RE 3743,Berlin Ostbahnhof (ab 23:04),3
23:27,23:27,ICE 276,Brig (ab 13:45),2
23:33 (+36),00:09,ICE 273,Berlin Ostbahnhof (ab 23:15),3
23:38 (+15),23:53,RE 3740,Dessau Hbf (ab 22:05),
23:47,23:47,ICE 1540,Berlin Ostbahnhof (ab 23:29),3
23:51,23:51,RE 73749,Magdeburg Hbf (ab 22:07),2
