Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
11:46 (+3),ICE 950,Köln Hbf (an 16:40),Berlin Hbf
11:46 (+6),RE 3716,Senftenberg (an 13:41),Berlin Hbf
11:47,RB 18513,Berlin Südkreuz (an 11:54),Berlin Hbf
11:50,RB 18152,Berlin-Charlottenburg (an 11:58),Berlin Hbf
11:54,ICE 9590,Paris Est (an 19:59),Berlin Hbf
11:55 (+1),IC 141,Berlin Ostbahnhof (an 12:02),Berlin Hbf
11:57 (+3),RE 3173,Stendal Hbf (an 13:14),Berlin Hbf
11:58,FLX 1364,Hamburg Hbf (an 14:11),Berlin Hbf
11:59,RE 73726,Erkner (an 12:30),Berlin Hbf
12:01 (+19),ICE 1005,München Hbf (an 16:01),Berlin Hbf
12:01,RE 73731,Magdeburg Hbf (an 13:47),Berlin Hbf
12:05 (+1),ICE 1006,Hamburg-Altona (an 14:04),Berlin Hbf
12:06 (+4),IC 144,Amsterdam Centraal (an 17:59),Berlin Hbf
12:07 (+7),RE 3170,Jüterbog (an 12:56),Berlin Hbf
12:10 (+1),RB 18155,Flughafen BER (an 12:46),Berlin Hbf
12:11,RE 51073,Berlin Südkreuz (an 12:16),Berlin Hbf
12:12,RB 18514,Berlin-Spandau (an 12:22),Berlin Hbf
12:14,RE 3721,Dessau Hbf (an 13:53),Berlin Hbf
12:14,RE 73768,Frankfurt(Oder) (an 13:31),Berlin Hbf
12:20,ICE 845,Berlin Ostbahnhof (an 12:27),Berlin Hbf
12:20,ICE 855,Berlin Ostbahnhof (an 12:27),Berlin Hbf
12:20,RE 62017,Wittenberge (an 13:57),Berlin Hbf
12:23 (+1),RE 3116,Cottbus Hbf (an 13:55),Berlin Hbf
12:26 (+1),ICE 509,München Hbf (an 17:01),Berlin Hbf
12:30 (+1),ICE 373,Interlaken Ost (an 21:59),Berlin Hbf
12:32,IC 2035,Berlin Ostbahnhof (an 12:39),Berlin Hbf
12:32 (+1),RE 3347,Lutherstadt Wittenberg Hbf (an 13:59),Berlin Hbf
12:33 (+2),RE 3310,Stralsund Hbf (an 15:41),Berlin Hbf
12:36 (+1),ICE 802,Hamburg-Altona (an 14:38),Berlin Hbf
12:37 (+1),RE 3117,Berlin-Spandau (an 12:54),Berlin Hbf
12:40,RE 62014,Flughafen BER (an 13:15),Berlin Hbf
12:41,RE 73773,Brandenburg Hbf (an 13:38),Berlin Hbf
12:46 (+1),ICE 548,Düsseldorf Hbf (an 17:08),Berlin Hbf
12:46 (+1),RE 3718,Senftenberg (an 14:41),Berlin Hbf
12:48,RB 18515,Berlin Südkreuz (an 12:54),Berlin Hbf
