Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
04:40,RE 92402,Berlin Ostbahnhof (an 04:57),Berlin Zoologischer Garten
04:47,RE 73757,Brandenburg Hbf (an 05:38),Berlin Zoologischer Garten
05:08,RE 33646,Magdeburg Hbf (an 06:47),Berlin Zoologischer Garten
05:08,RE 33835,Frankfurt(Oder) (an 06:33),Berlin Zoologischer Garten
05:08,RE 73717,Möser (an 06:34),Berlin Zoologischer Garten
05:08,RE 73754,Frankfurt(Oder) (an 06:33),Berlin Zoologischer Garten
05:17,RE 2,München Hbf (an 22:16),Berlin Zoologischer Garten
05:20,RE 3707,Potsdam-Rehbrücke (an 05:42),Berlin Zoologischer Garten
05:27,RE 62000,Berlin Ostbahnhof (an 05:43),Berlin Zoologischer Garten
05:27,RE 8,Berlin Ostbahnhof (an 05:43),Berlin Zoologischer Garten
05:32 (+39),ICE 100,Berlin Ostbahnhof (an 05:47),Berlin Zoologischer Garten
05:35,ICE 946,Düsseldorf Hbf (an 10:13),Berlin Zoologischer Garten
05:35,ICE 956,Köln Hbf (an 10:12),Berlin Zoologischer Garten
05:39,RE 3704,Schönwalde(Spreewald) (an 06:49),Berlin Zoologischer Garten
05:39,RE 95111,Lübben(Spreewald) (an 06:56),Berlin Zoologischer Garten
05:40,ICE 1158,Bonn Hbf (an 10:10),Berlin Zoologischer Garten
05:44,RE 3103,Berlin-Spandau (an 05:54),Berlin Zoologischer Garten
05:44,RE 92413,Berlin-Spandau (an 05:54),Berlin Zoologischer Garten
05:47,RE 73759,Brandenburg Hbf (an 06:38),Berlin Zoologischer Garten
05:48,RE 73714,Frankfurt(Oder) (an 07:05),Berlin Zoologischer Garten
06:08,RE 73719,Magdeburg Hbf (an 07:47),Berlin Zoologischer Garten
06:08,RE 73756,Frankfurt(Oder) (an 07:31),Berlin Zoologischer Garten
06:17,RE 92414,Lübben(Spreewald) (an 07:25),Berlin Zoologischer Garten
06:20,RE 3709,Potsdam-Rehbrücke (an 06:42),Berlin Zoologischer Garten
06:30,RE 73802,Berlin Ostbahnhof (an 06:46),Berlin Zoologischer Garten
06:30,RE 73805,Potsdam Hbf (an 06:51),Berlin Zoologischer Garten
06:43,ICE 674,Frankfurt(M) Flughafen Fernbahnhof (an 23:46),Berlin Zoologischer Garten
06:44,RE 92415,Berlin-Spandau (an 06:54),Berlin Zoologischer Garten
06:47,RE 73761,Brandenburg Hbf (an 07:38),Berlin Zoologischer Garten
06:53,RE 73716,Eisenhüttenstadt (an 08:23),Berlin Zoologischer Garten
07:08,RE 18541,Frankfurt(Oder) (an 08:31),Berlin Zoologischer Garten
07:08,RE 33680,Magdeburg Hbf (an 08:47),Berlin Zoologischer Garten
07:08,RE 73721,Möser (an 08:34),Berlin Zoologischer Garten
07:08,RE 73758,Frankfurt(Oder) (an 08:31),Berlin Zoologischer Garten
07:17,RE 92416,Lübben(Spreewald) (an 08:25),Berlin Zoologischer Garten
07:20,RE 3711,Potsdam-Rehbrücke (an 07:42),Berlin Zoologischer Garten
07:30,RE 73807,Brandenburg Hbf (an 08:16),Berlin Zoologischer Garten
07:38 (+4),IC 2432,Norddeich Mole (an 14:20),Berlin Zoologischer Garten Zoologischer 
07:38 (+2),IC 2432,Norddeich Mole (an 14:20),Berlin Zoologischer Garten
07:38 (+4),IC 2432,Lübben(Spreewald) (an 06:26),Berlin Zoologischer Garten Zoologischer 
07:38,RE 62432,Potsdam Hbf (an 07:58),Berlin Zoologischer Garten
07:40,RE 3708,Schönwalde(Spreewald) (an 08:49),Berlin Zoologischer Garten
07:40,RE 7,Lübbenau(Spreewald) (an 19:54),Berlin Zoologischer Garten
07:44,RE 92417,Berlin-Spandau (an 07:54),Berlin Zoologischer Garten
07:47,RE 73763,Brandenburg Hbf (an 08:38),Berlin Zoologischer Garten
07:53,RE 73718,Frankfurt(Oder) (an 09:05),Berlin Zoologischer Garten
08:08,RE 33838,Frankfurt(Oder) (an 09:31),Berlin Zoologischer Garten
08:08,RE 73723,Möser (an 09:34),Berlin Zoologischer Garten
08:08,RE 73760,Frankfurt(Oder) (an 09:31),Berlin Zoologischer Garten
08:17,RE 92418,Lübben(Spreewald) (an 09:25),Berlin Zoologischer Garten
08:20,RE 3713,Potsdam-Rehbrücke (an 08:42),Berlin Zoologischer Garten
08:30,RE 73809,Brandenburg Hbf (an 09:16),Berlin Zoologischer Garten
08:33,RE 62006,Flughafen BER (an 09:15),Berlin Zoologischer Garten
08:40 (+2),RE 3710,Schönwalde(Spreewald) (an 09:49),Berlin Zoologischer Garten
08:44,RE 42149,Berlin-Spandau (an 08:54),Berlin Zoologischer Garten
08:44,RE 92419,Berlin-Spandau (an 08:54),Berlin Zoologischer Garten
08:47,RE 73765,Brandenburg Hbf (an 09:38),Berlin Zoologischer Garten
08:55,RE 73720,Frankfurt(Oder) (an 10:05),Berlin Zoologischer Garten
09:08,RE 73725,Möser (an 10:34),Berlin Zoologischer Garten
09:08,RE 73762,Frankfurt(Oder) (an 10:31),Berlin Zoologischer Garten
09:20,RE 3715,Dessau Hbf (an 10:53),Berlin Zoologischer Garten
09:26,RE 62011,Elstal (an 09:52),Berlin Zoologischer Garten
09:30,RE 73808,Berlin Ostkreuz (an 09:49),Berlin Zoologischer Garten
09:30,RE 73811,Brandenburg Hbf (an 10:16),Berlin Zoologischer Garten
09:33,RE 62008,Berlin Ostkreuz (an 09:55),Berlin Zoologischer Garten
09:40 (+3),RE 3712,Schönwalde(Spreewald) (an 10:49),Berlin Zoologischer Garten
09:44,RE 92421,Berlin-Spandau (an 09:54),Berlin Zoologischer Garten
09:47,RE 73767,Brandenburg Hbf (an 10:38),Berlin Zoologischer Garten
09:52,RE 33806,Frankfurt(Oder) (an 11:05),Berlin Zoologischer Garten
09:52,RE 73722,Frankfurt(Oder) (an 11:05),Berlin Zoologischer Garten
09:59,RE 18759,Potsdam-Rehbrücke (an 10:22),Berlin Zoologischer Garten
10:08,RE 73727,Magdeburg Hbf (an 11:47),Berlin Zoologischer Garten
10:08,RE 73764,Frankfurt(Oder) (an 11:31),Berlin Zoologischer Garten
10:20,RE 3717,Dessau Hbf (an 11:53),Berlin Zoologischer Garten
10:33,RE 62010,Berlin Ostbahnhof (an 10:52),Berlin Zoologischer Garten
10:40,RE 3714,Schönwalde(Spreewald) (an 11:49),Berlin Zoologischer Garten
10:44,RE 92423,Berlin-Spandau (an 10:54),Berlin Zoologischer Garten
10:47,RE 73769,Brandenburg Hbf (an 11:38),Berlin Zoologischer Garten
10:53,RE 33808,Frankfurt(Oder) (an 12:05),Berlin Zoologischer Garten
10:53,RE 73724,Frankfurt(Oder) (an 12:05),Berlin Zoologischer Garten
11:07,RE 73729,Magdeburg Hbf (an 12:47),Berlin Zoologischer Garten
11:08,RE 73766,Frankfurt(Oder) (an 12:31),Berlin Zoologischer Garten
11:20,RE 3719,Dessau Hbf (an 12:53),Berlin Zoologischer Garten
11:26,RE 62015,Elstal (an 11:52),Berlin Zoologischer Garten
11:33,RE 62012,Flughafen BER (an 12:15),Berlin Zoologischer Garten
11:40,RE 3716,Schönwalde(Spreewald) (an 12:49),Berlin Zoologischer Garten
11:44,RE 92425,Berlin-Spandau (an 11:54),Berlin Zoologischer Garten
11:47,RE 73771,Brandenburg Hbf (an 12:38),Berlin Zoologischer Garten
11:53,RE 33810,Frankfurt(Oder) (an 13:05),Berlin Zoologischer Garten
11:53,RE 73726,Frankfurt(Oder) (an 13:05),Berlin Zoologischer Garten
12:08,RE 73731,Magdeburg Hbf (an 13:47),Berlin Zoologischer Garten
12:08,RE 73768,Frankfurt(Oder) (an 13:31),Berlin Zoologischer Garten
12:20 (+22),RE 3721,Dessau Hbf (an 13:53),Berlin Zoologischer Garten
12:33,RE 62014,Flughafen BER (an 13:15),Berlin Zoologischer Garten
12:40 (+2),RE 3718,Schönwalde(Spreewald) (an 13:49),Berlin Zoologischer Garten
12:44,RE 92427,Berlin-Spandau (an 12:54),Berlin Zoologischer Garten
12:47,RE 73773,Brandenburg Hbf (an 13:38),Berlin Zoologischer Garten
12:53,RE 33812,Frankfurt(Oder) (an 14:05),Berlin Zoologischer Garten
12:53,RE 73728,Frankfurt(Oder) (an 14:05),Berlin Zoologischer Garten
13:08,RE 73733,Magdeburg Hbf (an 14:47),Berlin Zoologischer Garten
13:08,RE 73770,Frankfurt(Oder) (an 14:31),Berlin Zoologischer Garten
13:20 (+7),RE 3723,Dessau Hbf (an 14:53),Berlin Zoologischer Garten
13:26,RE 62019,Elstal (an 13:52),Berlin Zoologischer Garten
13:33,RE 62016,Flughafen BER (an 14:15),Berlin Zoologischer Garten
13:40 (+1),RE 3720,Berlin Ostbahnhof (an 13:56),Berlin Zoologischer Garten
13:44,RE 92429,Berlin-Spandau (an 13:54),Berlin Zoologischer Garten
13:47,RE 73775,Brandenburg Hbf (an 14:38),Berlin Zoologischer Garten
13:53,RE 73730,Cottbus Hbf (an 16:05),Berlin Zoologischer Garten
14:08,RE 33694,Magdeburg Hbf (an 15:47),Berlin Zoologischer Garten
14:08,RE 73735,Möser (an 15:34),Berlin Zoologischer Garten
14:08,RE 73772,Frankfurt(Oder) (an 15:31),Berlin Zoologischer Garten
14:20,RE 3725,Dessau Hbf (an 15:53),Berlin Zoologischer Garten
14:30,RE 28086,Berlin Ostbahnhof (an 14:46),Berlin Zoologischer Garten
14:30,RE 73812,Berlin Ostbahnhof (an 14:46),Berlin Zoologischer Garten
14:30,RE 73815,Berlin-Wannsee (an 14:42),Berlin Zoologischer Garten
14:33,RE 62018,Flughafen BER (an 15:15),Berlin Zoologischer Garten
14:40 (+11),RE 3722,Berlin Ostbahnhof (an 14:56),Berlin Zoologischer Garten
14:44,RE 92431,Berlin-Spandau (an 14:54),Berlin Zoologischer Garten
14:47,RE 73777,Brandenburg Hbf (an 15:38),Berlin Zoologischer Garten
