Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
12:49,RE 93018,Lübben(Spreewald) (an 13:56),Berlin Friedrichstraße
12:59,RE 3115,Frankfurt(Oder) (an 14:03),Berlin Friedrichstraße
12:59,RE 73728,Frankfurt(Oder) (an 14:03),Berlin Friedrichstraße
12:59,RE 73733,Magdeburg Hbf (an 14:47),Berlin Friedrichstraße
13:10,RE 93023,Berlin Zoologischer Garten (an 13:19),Berlin Friedrichstraße
13:15,RE 62019,Wismar (an 16:37),Berlin Friedrichstraße
13:17,RE 73770,Frankfurt(Oder) (an 14:31),Berlin Friedrichstraße
13:17,RE 93770,Frankfurt(Oder) (an 14:31),Berlin Friedrichstraße
13:26,RE 3118,Lübben(Spreewald) (an 14:25),Berlin Friedrichstraße
13:33,RE 3119,Nauen (an 14:23),Berlin Friedrichstraße
13:44,RE 62016,Flughafen BER - Terminal 1-2 (an 14:15),Berlin Friedrichstraße
13:49,RE 93020,Lübben(Spreewald) (an 14:56),Berlin Friedrichstraße
13:59,RE 73735,Magdeburg Hbf (an 15:47),Berlin Friedrichstraße
14:00,RE 73730,Frankfurt(Oder) (an 15:06),Berlin Friedrichstraße
14:10,RE 93025,Berlin Zoologischer Garten (an 14:19),Berlin Friedrichstraße
14:15,RE 62021,Wittenberge (an 15:57),Berlin Friedrichstraße
14:17,RE 73772,Frankfurt(Oder) (an 15:31),Berlin Friedrichstraße
14:17,RE 93772,Frankfurt(Oder) (an 15:31),Berlin Friedrichstraße
14:26,RE 3120,Lübben(Spreewald) (an 15:25),Berlin Friedrichstraße
14:33,RE 3121,Nauen (an 15:23),Berlin Friedrichstraße
14:44,RE 62018,Flughafen BER - Terminal 1-2 (an 15:15),Berlin Friedrichstraße
14:49,RE 93022,Lübben(Spreewald) (an 15:56),Berlin Friedrichstraße
14:59,RE 73732,Frankfurt(Oder) (an 16:03),Berlin Friedrichstraße
14:59,RE 73737,Magdeburg Hbf (an 16:47),Berlin Friedrichstraße
15:10,RE 93027,Berlin Zoologischer Garten (an 15:19),Berlin Friedrichstraße
15:15,RE 62023,Wismar (an 18:37),Berlin Friedrichstraße
15:15,RE 62023,Wismar (an 18:37),Berlin Friedrichstr
15:17,RE 73774,Frankfurt(Oder) (an 16:31),Berlin Friedrichstraße
15:17,RE 93774,Frankfurt(Oder) (an 16:31),Berlin Friedrichstraße
15:26,RE 3122,Lübben(Spreewald) (an 16:25),Berlin Friedrichstraße
15:44,RE 62020,Flughafen BER - Terminal 1-2 (an 16:15),Berlin Friedrichstraße
15:49,RE 93024,Lübben(Spreewald) (an 16:56),Berlin Friedrichstraße
15:59,RE 73734,Frankfurt(Oder) (an 17:03),Berlin Friedrichstraße
15:59 (+2),RE 73734,Frankfurt(Oder) (an 17:03),Berlin Friedrichstr
15:59,RE 73739,Magdeburg Hbf (an 17:47),Berlin Friedrichstraße
15:59 (+2),RE 73739,Magdeburg Hbf (an 17:47),Berlin Friedrichstr
15:59,RE 91001,Magdeburg Hbf (an 17:47),Berlin Friedrichstraße
16:10 (+7),RE 93029,Berlin Zoologischer Garten (an 16:19),Berlin Friedrichstraße
16:15,RE 62025,Wittenberge (an 17:57),Berlin Friedrichstraße
16:15,RE 62025,Wittenberge (an 17:57),Berlin Friedrichstr
16:19,RE 1,Ingolstadt Hbf (an 23:22),Berlin Friedrichstraße
16:19,RE 93776,Frankfurt(Oder) (an 17:31),Berlin Friedrichstraße
16:19 (+3),RE 93776,Frankfurt(Oder) (an 17:31),Berlin Friedrichstr
16:26,RE 3124,Lübben(Spreewald) (an 17:25),Berlin Friedrichstraße
16:26 (+2),RE 3124,Lübben(Spreewald) (an 17:25),Berlin Friedrichstr
16:26,RE 3124,Magdeburg Hbf (an 16:47),Berlin Friedrichstraße
16:26 (+2),RE 3124,Berlin-Wannsee (an 15:22),Berlin Friedrichstr
16:26,RE 3124,Berlin-Wannsee (an 15:22),Berlin Friedrichstraße
16:33,RE 3125,Nauen (an 17:23),Berlin Friedrichstr
16:33,RE 3125,Nauen (an 17:23),Berlin Friedrichstraße
16:44,RE 62022,Flughafen BER - Terminal 1-2 (an 17:15),Berlin Friedrichstraße
