Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
14:20 (+7),ICE 1601,Hamburg-Altona (ab 12:15),Berlin Hbf (tief)
14:22 (+2),ICE 800,München Hbf (ab 09:55),Berlin Hbf (tief)
14:28 (+1),RE 3349,Schwedt(Oder) (ab 13:06),Berlin Hbf (tief)
14:30 (+3),RE 3312,Lutherstadt Wittenberg Hbf (ab 12:59),Berlin Hbf (tief)
14:32 (+25),ICE 78,Zürich HB (ab 05:59),Berlin Hbf (tief)
14:33,FEX19838,Ludwigsfelde (ab 13:38),Berlin Hbf (tief)
14:45 (+1),RB 18519,Nauen (ab 14:08),Berlin Hbf (tief)
14:48 (+5),ICE 759,Köln Hbf (ab 08:47),Berlin Hbf (tief)
14:48 (+2),RB 18618,Berlin Südkreuz (ab 14:42),Berlin Hbf (tief)
14:48,RE 50759,Berlin-Spandau (ab 14:39),Berlin Hbf (tief)
14:52 (+1),RE 3155,Falkenberg(Elster) (ab 13:14),Berlin Hbf (tief)
14:53 (+2),FLX 1365,Hamburg Hbf (ab 12:52),Berlin Hbf (tief)
14:55 (+22),ICE 770,Stuttgart Hbf (ab 09:23),Berlin Hbf (tief)
14:59 (+45),EC 174,Praha hl.n. (ab 10:25),Berlin Hbf (tief)
14:59,RE 18540,Rathenow (ab 14:03),Berlin Hbf (tief)
14:59 (+3),RE 3154,Fangschleuse (ab 00:03),Berlin Hbf (tief)
15:03,FEX19840,Wünsdorf-Waldstadt (ab 13:49),Berlin Hbf (tief)
15:06 (+1),RB 18619,Nauen (ab 14:18),Berlin Hbf (tief)
15:10 (+1),RB 18520,Berlin Südkreuz (ab 15:03),Berlin Hbf (tief)
15:12,RE 62071,Baruth(Mark) (ab 14:08),Berlin Hbf (tief)
15:22 (+1),ICE 709,Hamburg-Altona (ab 13:19),Berlin Hbf (tief)
15:26 (+1),RE 3350,Luckenwalde (ab 14:39),Berlin Hbf (tief)
15:26,RE 99696,Luckenwalde (ab 14:39),Berlin Hbf (tief)
15:28 (+6),RE 3311,Stralsund Hbf (ab 12:17),Berlin Hbf (tief)
15:29 (+1),ICE 508,München Hbf (ab 10:55),Berlin Hbf (tief)
15:33,FEX19842,Ludwigsfelde (ab 14:32),Berlin Hbf (tief)
15:33 (+1),IC 2176,Dresden Hbf (ab 13:19),Berlin Hbf (tief)
15:33 (+1),RE 52176,Elsterwerda (ab 13:56),Berlin Hbf (tief)
15:45 (+3),RB 18521,Nauen (ab 15:08),Berlin Hbf (tief)
15:46 (+2),RB 18620,Berlin Südkreuz (ab 15:40),Berlin Hbf (tief)
15:51 (+10),RE 3177,Jüterbog (ab 15:03),Berlin Hbf (tief)
15:53 (+83),ICE 1004,München Hbf (ab 11:56),Berlin Hbf (tief)
15:55,ICE 1007,Hamburg-Altona (ab 13:51),Berlin Hbf (tief)
15:59 (+2),RE 3174,Frankfurt(Oder) (ab 11:26),Berlin Hbf (tief)
16:03 (+3),FEX19844,Wünsdorf-Waldstadt (ab 14:49),Berlin Hbf (tief)
16:06 Ausfall,RB 18621,Nauen (ab 15:18),Berlin Hbf (tief)
16:09,RE 62073,Elsterwerda (ab 14:12),Berlin Hbf (tief)
16:10 (+4),RB 18522,Berlin Südkreuz (ab 16:03),Berlin Hbf (tief)
16:14 (+3),ICE 1040,Stralsund Hbf (ab 13:15),Berlin Hbf (tief)
16:14,ICE 14,Herzogenrath (ab 05:56),Berlin Hbf (tief)
16:14,RE 4756,Wettingen (ab 05:42),Berlin Hbf (tief)
16:14 (+3),RE 51040,Prenzlau (ab 14:53),Berlin Hbf (tief)
16:17 (+11),IC 2271,Rostock Hbf (ab 13:47),Berlin Hbf (tief)
16:20 (+2),ICE 2903,Hamburg-Altona (ab 14:18),Berlin Hbf (tief)
16:20 (+1),ICE 603,Hamburg-Altona (ab 14:18),Berlin Hbf (tief)
16:22 (+69),ICE 708,Fürth(Bay)Hbf (ab 00:33),Berlin Hbf (tief)
16:28 (+2),RE 3351,Schwedt(Oder) (ab 15:06),Berlin Hbf (tief)
16:30,ICE 798,Frankfurt(Main)Hbf (ab 11:53),Berlin Hbf (tief)
16:30 (+3),RE 3314,Lutherstadt Wittenberg Hbf (ab 14:59),Berlin Hbf (tief)
16:32 (+30),ICE 76,Zürich HB (ab 07:59),Berlin Hbf (tief)
16:33,FEX19846,Ludwigsfelde (ab 15:38),Berlin Hbf (tief)
16:45 (+5),RB 18523,Nauen (ab 16:08),Berlin Hbf (tief)
16:48 Ausfall,RB 18622,Berlin Südkreuz (ab 16:42),Berlin Hbf (tief)
16:52 (+3),RE 3157,Falkenberg(Elster) (ab 15:14),Berlin Hbf (tief)
16:55 (+3),ICE 578,Stuttgart Hbf (ab 11:23),Berlin Hbf (tief)
16:55 (+15),ICE 773,Hamburg-Altona (ab 14:37),Berlin Hbf (tief)
17:00 (+23),EC 378,Praha hl.n. (ab 12:25),Berlin Hbf (tief)
17:00 (+1),RE 3156,Rathenow (ab 16:03),Berlin Hbf (tief)
17:00,RE 62174,Rathenow (ab 16:03),Berlin Hbf (tief)
17:03,FEX19848,Wünsdorf-Waldstadt (ab 15:49),Berlin Hbf (tief)
17:06,RB 18623,Nauen (ab 16:18),Berlin Hbf (tief)
17:10 (+1),RB 18524,Berlin Südkreuz (ab 17:03),Berlin Hbf (tief)
17:12,RE 62075,Baruth(Mark) (ab 16:08),Berlin Hbf (tief)
17:22 (+5),ICE 801,Kiel Hbf (ab 14:13),Berlin Hbf (tief)
17:23,FLX 1244,Basel Bad (ab 09:11),Berlin Hbf (tief)
