Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
11:37 (+38),ICE 1076,Dresden Hbf (ab 09:25),Berlin Hbf
11:37,RE 51076,Elsterwerda (ab 10:04),Berlin Hbf
11:38,RE 62012,Bad Wilsnack (ab 10:13),Berlin Hbf
11:39,RE 73771,Frankfurt(Oder) (ab 10:26),Berlin Hbf
11:42 (+20),ICE 1006,München Hbf (ab 07:56),Berlin Hbf
11:44 (+3),RE 3716,Bad Belzig (ab 10:41),Berlin Hbf
11:44,RE 95150,Bad Belzig (ab 10:41),Berlin Hbf
11:45 (+1),RB 18513,Nauen (ab 11:08),Berlin Hbf
11:48 (+4),RB 18152,Flughafen BER (ab 11:13),Berlin Hbf
11:48,RB 18612,Berlin Südkreuz (ab 11:41),Berlin Hbf
11:51 (+12),IC 141,Amsterdam Centraal (ab 05:33),Berlin Hbf
11:54 (+19),FLX 1362,Berlin Ostbahnhof (ab 11:46),Berlin Hbf
11:55 (+21),RE 3173,Jüterbog (ab 11:03),Berlin Hbf
11:57,RE 73726,Magdeburg Hbf (ab 10:12),Berlin Hbf
11:59,RE 73731,Frankfurt(Oder) (ab 10:55),Berlin Hbf
12:01 (+1),RE 3170,Frankfurt(Oder) (ab 09:26),Berlin Hbf
12:01,RE 62164,Rathenow (ab 11:02),Berlin Hbf
12:02 (+5),ICE 1136,Frankfurt(Main)Hbf (ab 08:02),Berlin Hbf
12:03,FEX19828,Flughafen BER (ab 11:28),Berlin Hbf
12:03 (+4),IC 144,Berlin Ostbahnhof (ab 11:53),Berlin Hbf
12:06 (+60),EC 246,Warszawa Wschodnia (ab 06:34),Berlin Hbf
12:08 (+3),ICE 1073,Ostseebad Binz (ab 08:19),Berlin Hbf
12:08 (+1),RB 18155,Berlin-Charlottenburg (ab 12:00),Berlin Hbf
12:08,RB 18613,Nauen (ab 11:30),Berlin Hbf
12:08 (+2),RE 51073,Prenzlau (ab 10:53),Berlin Hbf
12:09,RB 18514,Berlin Südkreuz (ab 12:02),Berlin Hbf
12:11 (+12),RE 62065,Elsterwerda (ab 10:13),Berlin Hbf
12:12 (+3),RE 3721,Senftenberg (ab 10:14),Berlin Hbf
12:12,RE 73768,Brandenburg Hbf (ab 11:19),Berlin Hbf
12:15 (+48),ICE 845,Köln Hbf (ab 06:27),Berlin Hbf
12:15 (+48),ICE 855,Köln Hbf (ab 06:48),Berlin Hbf
12:18,RE 62017,Flughafen BER (ab 11:44),Berlin Hbf
12:19 (+13),ICE 509,Hamburg-Altona (ab 09:22),Berlin Hbf
12:21 (+5),ICE 1978,Berlin Südkreuz (ab 12:16),Berlin Hbf
12:21,RE 3116,Nauen (ab 11:37),Berlin Hbf
12:22 (+18),ICE 802,München Hbf (ab 07:13),Berlin Hbf
12:23 (+7),IC 2177,Warnemünde (ab 09:56),Berlin Hbf
12:28 (+5),IC 2035,Norddeich (ab 05:36),Berlin Hbf
12:28 (+3),RE 3347,Schwedt(Oder) (ab 11:06),Berlin Hbf
12:31 (+11),RE 3310,Lutherstadt Wittenberg Hbf (ab 11:03),Berlin Hbf
12:32 (+26),ICE 2474,Karlsruhe Hbf (ab 06:51),Berlin Hbf
12:33,FEX19830,Ludwigsfelde (ab 11:39),Berlin Hbf
12:33 (+26),ICE 994,Frankfurt(M) Flughafen Fernbf (ab 08:07),Berlin Hbf
12:35 (+2),RE 3117,Cottbus Hbf (ab 11:04),Berlin Hbf
12:35,RE 95054,Berlin Ostbahnhof (ab 12:25),Berlin Hbf
12:38,RE 62014,Wismar (ab 09:24),Berlin Hbf
12:39,RE 73773,Frankfurt(Oder) (ab 11:26),Berlin Hbf
12:43 (+5),EC 176,Praha hl.n. (ab 08:28),Berlin Hbf
12:44 (+12),RE 3718,Dessau Hbf (ab 11:05),Berlin Hbf
12:45 (+1),RB 18515,Nauen (ab 12:08),Berlin Hbf
12:48 (+4),RB 18154,Flughafen BER (ab 12:14),Berlin Hbf
12:48,RB 18614,Berlin Südkreuz (ab 12:41),Berlin Hbf
12:51 (+21),ICE 1545,Aachen Hbf (ab 06:44),Berlin Hbf
12:52 (+4),ICE 1631,Warnemünde (ab 10:14),Berlin Hbf
12:52 (+5),RE 3153,Falkenberg(Elster) (ab 11:14),Berlin Hbf
12:57 Ausfall,ICE 1112,München Hbf (ab 08:52),Berlin Hbf
12:57,RE 73728,Magdeburg Hbf (ab 11:12),Berlin Hbf
12:59,RE 73733,Frankfurt(Oder) (ab 11:55),Berlin Hbf
13:01 (+19),ICE 545,Düsseldorf Hbf (ab 07:45),Berlin Hbf
13:01 (+19),ICE 555,Bonn Hbf (ab 07:38),Berlin Hbf
13:02 (+4),RE 3152,Stendal Hbf (ab 11:40),Berlin Hbf
13:03,FEX19832,Flughafen BER (ab 12:28),Berlin Hbf
13:08 (+1),RB 18157,Berlin-Charlottenburg (ab 13:00),Berlin Hbf
13:08 (+3),RB 18615,Nauen (ab 12:31),Berlin Hbf
13:09 (+3),RB 18516,Berlin Südkreuz (ab 13:01),Berlin Hbf
13:11,RE 62067,Baruth(Mark) (ab 12:07),Berlin Hbf
13:12 (+10),RE 3723,Senftenberg (ab 11:14),Berlin Hbf
13:12,RE 73770,Brandenburg Hbf (ab 12:19),Berlin Hbf
13:18,RE 62019,Flughafen BER (ab 12:44),Berlin Hbf
13:19 (+1),ICE 797,Berlin Südkreuz (ab 13:13),Berlin Hbf
13:21 (+7),RE 3118,Nauen (ab 12:37),Berlin Hbf
13:22 (+14),ICE 707,Hamburg-Altona (ab 10:36),Berlin Hbf
13:26 (+2),RE 3348,Luckenwalde (ab 12:39),Berlin Hbf
13:28 (+28),RE 3309,Stralsund Hbf (ab 10:16),Berlin Hbf
13:29 (+25),ICE 1119,Leipzig Hbf (ab 12:16),Berlin Hbf
13:29 (+28),ICE 1600,München Hbf (ab 08:55),Berlin Hbf
13:29 (+4),ICE 772,Stuttgart Hbf (ab 07:24),Berlin Hbf
13:33 (+1),IC 2178,Dresden Hbf (ab 11:22),Berlin Hbf
13:33 (+1),RE 52178,Elsterwerda (ab 12:01),Berlin Hbf
13:35,FEX19834,Ludwigsfelde (ab 12:32),Berlin Hbf
13:35,RE 3119,Cottbus Hbf (ab 12:04),Berlin Hbf
13:35,RE 95061,Berlin Ostbahnhof (ab 13:25),Berlin Hbf
13:38,RE 62016,Bad Wilsnack (ab 12:13),Berlin Hbf
13:39,RE 73775,Frankfurt(Oder) (ab 12:26),Berlin Hbf
13:44 (+2),RE 3720,Bad Belzig (ab 12:41),Berlin Hbf
13:45 (+1),RB 18517,Nauen (ab 13:08),Berlin Hbf
13:45 (+1),RB 18616,Berlin Südkreuz (ab 13:39),Berlin Hbf
13:48 (+2),FLX 1240,Stuttgart Hbf (ab 07:17),Berlin Hbf
13:48 (+7),RB 18156,Flughafen BER (ab 13:13),Berlin Hbf
13:49 (+73),FLX 1363,Hamburg Hbf (ab 11:20),Berlin Hbf
13:51 (+29),IC 143,Amsterdam Centraal (ab 07:33),Berlin Hbf
