Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
13:38 (+13),ICE 1600,Hamburg-Altona (an 15:39),Berlin Hbf (tief)
13:41 (+14),ICE 1710,Ostseebad Binz (an 17:30),Berlin Hbf (tief)
13:41,RE 28,Prenzlau (an 14:58),Berlin Hbf (tief)
13:41,RE 51710,Prenzlau (an 14:58),Berlin Hbf (tief)
13:42,RE 62070,Elsterwerda (an 15:39),Berlin Hbf (tief)
13:47 (+1),RB 18616,Nauen (an 14:33),Berlin Hbf (tief)
13:48,RB 18517,Berlin Südkreuz (an 13:56),Berlin Hbf (tief)
13:51,FEX19845,Flughafen BER - Terminal 1-2 (an 14:27),Berlin Hbf (tief)
13:51,RB 18365,Wünsdorf-Waldstadt (an 15:12),Berlin Hbf (tief)
13:53,ICE 14,Oberhausen Hbf (an 20:27),Berlin Hbf (tief)
13:53 (+4),ICE 2946,Köln Hbf (an 20:01),Berlin Hbf (tief)
13:53 Ausfall,ICE 758,Köln Hbf (an 20:01),Berlin Hbf (tief)
13:53,RE 50758,Berlin-Spandau (an 14:03),Berlin Hbf (tief)
13:56 (+8),RE 3175,Rathenow (an 14:53),Berlin Hbf (tief)
14:01 (+3),RE 3172,Jüterbog (an 14:56),Berlin Hbf (tief)
14:03 (+1),ICE 1706,Hamburg-Altona (an 16:23),Berlin Hbf (tief)
14:04 (+1),ICE 1707,München Hbf (an 19:41),Berlin Hbf (tief)
14:08 (+1),RB 18617,Berlin Südkreuz (an 14:15),Berlin Hbf (tief)
14:12 (+1),RB 18518,Nauen (an 14:50),Berlin Hbf (tief)
14:26,IC 2179,Dresden Hbf (an 16:34),Berlin Hbf (tief)
14:26,RE 52179,Elsterwerda (an 15:59),Berlin Hbf (tief)
14:29 (+1),ICE 1601,München Hbf (an 19:03),Berlin Hbf (tief)
14:29 (+1),ICE 1711,München Hbf (an 19:03),Berlin Hbf (tief)
14:29,RE 51711,Berlin Südkreuz (an 14:34),Berlin Hbf (tief)
14:32 (+1),RE 3349,Zahna (an 15:40),Berlin Hbf (tief)
14:33 (+1),RE 3312,Stralsund Hbf (an 17:43),Berlin Hbf (tief)
14:38 (+2),ICE 800,Hamburg-Altona (an 16:38),Berlin Hbf (tief)
14:44,RE 62072,Baruth(Mark) (an 15:50),Berlin Hbf (tief)
14:48 (+1),RB 18519,Berlin Südkreuz (an 14:56),Berlin Hbf (tief)
14:49 (+1),EC 177,Praha hl.n. (an 19:35),Berlin Hbf (tief)
14:50 (+2),RB 18618,Nauen (an 15:33),Berlin Hbf (tief)
14:56,FEX19849,Flughafen BER - Terminal 1-2 (an 15:31),Berlin Hbf (tief)
14:56,RB 18367,Wünsdorf-Waldstadt (an 16:12),Berlin Hbf (tief)
14:56 (+1),RE 3155,Rathenow (an 15:56),Berlin Hbf (tief)
15:01,RE 18540,Berlin Südkreuz (an 15:11),Berlin Hbf (tief)
15:01 (+1),RE 3154,Falkenberg(Elster) (an 16:35),Berlin Hbf (tief)
15:05 (+1),ICE 771,Stuttgart Hbf (an 20:38),Berlin Hbf (tief)
15:06 (+3),EC 174,Flensburg (an 19:07),Berlin Hbf (tief)
15:08,RB 18619,Berlin Südkreuz (an 15:15),Berlin Hbf (tief)
15:12 (+1),RB 18520,Nauen (an 15:50),Berlin Hbf (tief)
15:14 (+1),ICE 759,Ostseebad Binz (an 19:00),Berlin Hbf (tief)
15:14,RE 50759,Prenzlau (an 16:30),Berlin Hbf (tief)
15:26 (+4),ICE 1171,Karlsruhe Hbf (an 21:09),Berlin Hbf (tief)
15:31 (+55),RE 3311,Jüterbog (an 16:26),Berlin Hbf (tief)
15:31 (+1),RE 3350,Schwedt(Oder) (an 16:56),Berlin Hbf (tief)
15:31,RE 99696,Angermünde (an 16:28),Berlin Hbf (tief)
15:34 (+2),ICE 709,München Hbf (an 21:06),Berlin Hbf (tief)
