Ankunft,Zugnr.,von (Abfahrt),Gleis
22:03 (+10),EC 40,Warszawa Wschodnia (ab 16:49),2
22:14,RE 73745,Magdeburg Hbf (ab 20:12),1
22:18,RE 3137,Cottbus Hbf (ab 21:03),2
22:20,RB 18337,Eberswalde Hbf (ab 21:35),13
22:36,RE 73792,Erkner (ab 22:19),2
22:39,RB 18336,Blankenfelde(Teltow-Fläming) (ab 22:09),14
23:01,RB 61136,Templin Stadt (ab 21:33),8
23:08,RE 3136,Hennigsdorf(b Berlin) (ab 22:02),1
23:14,RE 73747,Magdeburg Hbf (ab 21:07),1
23:17,RE 3139,Cottbus Hbf (ab 22:00),2
23:36,RE 73794,Erkner (ab 23:19),2
