Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
11:53 (+10),RE 3716,Senftenberg (an 13:41),Berlin Alexanderplatz
11:54,RE 73731,Magdeburg Hbf (an 13:47),Berlin Alexanderplatz
12:06 (+9),RE 3721,Beelitz-Heilstätten (an 12:55),Berlin Alexanderplatz
12:06,RE 73726,Frankfurt(Oder) (an 13:05),Berlin Alexanderplatz
12:11,RE 62017,Elstal (an 12:52),Berlin Alexanderplatz
12:17,RB 56931,Flughafen BER (an 12:46),Berlin Alexanderplatz
12:21,RE 73768,Frankfurt(Oder) (an 13:31),Berlin Alexanderplatz
12:29,RE 3117,Hennigsdorf(b Berlin) (an 13:23),Berlin Alexanderplatz
12:34,RE 3116,Lübbenau(Spreewald) (an 13:32),Berlin Alexanderplatz
12:34,RE 73773,Brandenburg Hbf (an 13:38),Berlin Alexanderplatz
12:48,RE 62014,Flughafen BER (an 13:15),Berlin Alexanderplatz
12:53 (+2),RE 3718,Senftenberg (an 14:41),Berlin Alexanderplatz
12:54,RE 73733,Magdeburg Hbf (an 14:47),Berlin Alexanderplatz
13:06 (+1),RE 3723,Beelitz-Heilstätten (an 13:55),Berlin Alexanderplatz
13:06,RE 73728,Eisenhüttenstadt (an 14:22),Berlin Alexanderplatz
13:11,RE 62019,Berlin-Spandau (an 13:36),Berlin Alexanderplatz
13:17,RB 56933,Berlin Ostkreuz (an 13:24),Berlin Alexanderplatz
13:21,RE 73770,Frankfurt(Oder) (an 14:31),Berlin Alexanderplatz
13:29,RE 3119,Hennigsdorf(b Berlin) (an 14:23),Berlin Alexanderplatz
13:34 (+1),RE 3118,Lübbenau(Spreewald) (an 14:32),Berlin Alexanderplatz
13:34,RE 73775,Brandenburg Hbf (an 14:38),Berlin Alexanderplatz
13:48,RE 62016,Flughafen BER (an 14:15),Berlin Alexanderplatz
13:53 (+11),RE 3720,Senftenberg (an 15:41),Berlin Alexanderplatz
13:54,RE 33694,Magdeburg Hbf (an 15:47),Berlin Alexanderplatz
13:54,RE 73735,Magdeburg Hbf (an 15:47),Berlin Alexanderplatz
14:06 (+27),RE 3725,Beelitz-Heilstätten (an 14:55),Berlin Alexanderplatz
14:06,RE 73730,Cottbus Hbf (an 16:05),Berlin Alexanderplatz
14:11,RE 62021,Elstal (an 14:52),Berlin Alexanderplatz
14:17,RB 56935,Flughafen BER (an 14:46),Berlin Alexanderplatz
14:21,RE 73772,Frankfurt(Oder) (an 15:31),Berlin Alexanderplatz
14:29 (+14),RE 3121,Berlin-Spandau (an 14:54),Berlin Alexanderplatz
14:34,RE 3120,Lübbenau(Spreewald) (an 15:32),Berlin Alexanderplatz
14:34,RE 73777,Brandenburg Hbf (an 15:38),Berlin Alexanderplatz
14:48,RE 62018,Flughafen BER (an 15:15),Berlin Alexanderplatz
14:53 (+4),RE 3722,Senftenberg (an 16:41),Berlin Alexanderplatz
14:54,RE 73737,Magdeburg Hbf (an 16:47),Berlin Alexanderplatz
15:05,RE 73732,Frankfurt(Oder) (an 16:05),Berlin Alexanderplatz
15:06 (+14),RE 3727,Berlin-Wannsee (an 15:33),Berlin Alexanderplatz
15:11,RE 62023,Elstal (an 15:52),Berlin Alexanderplatz
15:17,RB 56937,Flughafen BER (an 15:46),Berlin Alexanderplatz
15:21,RE 73774,Frankfurt(Oder) (an 16:31),Berlin Alexanderplatz
15:29 (+1),RE 3123,Hennigsdorf(b Berlin) (an 16:23),Berlin Alexanderplatz
15:34,RE 3122,Lübbenau(Spreewald) (an 16:32),Berlin Alexanderplatz
15:34,RE 73779,Brandenburg Hbf (an 16:38),Berlin Alexanderplatz
15:48,RE 62020,Flughafen BER (an 16:15),Berlin Alexanderplatz
