Ankunft,Zugnr.,von (Abfahrt),Gleis
09:07 (+1),RE 73724,Frankfurt(Oder) (ab 07:41),3
09:08 (+1),RE 73809,Brandenburg Hbf (ab 08:22),2
09:18 (+12),RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:20 (+7),RE 3715,Berlin Ostbahnhof (ab 09:04),3
09:29 (+1),RE 73761,Brandenburg Hbf (ab 08:44),2
09:29,RE 73766,Frankfurt(Oder) (ab 08:11),4
09:38 (+1),RE 3712,Dessau Hbf (ab 08:05),1
09:46,RB 73810,Berlin Ostbahnhof (ab 09:30),3
09:51 (+1),RE 73721,Magdeburg Hbf (ab 08:12),2
09:57,RB 18150,Berlin Ostbahnhof (ab 09:39),3
10:03,RB 18149,Golm (ab 09:27),1
10:07,RE 73726,Frankfurt(Oder) (ab 08:38),4
10:08,RE 73811,Brandenburg Hbf (ab 09:22),2
10:20,RE 3717,Berlin Ostbahnhof (ab 10:04),3
10:29,RE 73763,Brandenburg Hbf (ab 09:44),2
10:29,RE 73768,Frankfurt(Oder) (ab 09:08),4
10:38,RE 3714,Dessau Hbf (ab 09:05),2
10:51,RE 73723,Magdeburg Hbf (ab 09:12),2
11:07,RE 73728,Frankfurt(Oder) (ab 09:38),4
11:20,RE 3719,Berlin Ostbahnhof (ab 11:04),3
11:29,RE 73765,Brandenburg Hbf (ab 10:44),2
11:29,RE 73770,Frankfurt(Oder) (ab 10:08),4
11:38 (+6),RE 3716,Dessau Hbf (ab 10:05),2
11:51 (+2),RE 73725,Magdeburg Hbf (ab 10:12),2
12:07,RE 73730,Frankfurt(Oder) (ab 10:38),4
12:18,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:20,RE 3721,Berlin Ostbahnhof (ab 12:04),3
12:21 Ausfall,IC 2035,Norddeich (ab 05:39),2
12:29,RE 73767,Brandenburg Hbf (ab 11:44),2
12:29,RE 73772,Frankfurt(Oder) (ab 11:08),4
12:38 (+2),RE 3718,Dessau Hbf (ab 11:05),2
12:51 (+1),RE 73727,Magdeburg Hbf (ab 11:12),2
13:07,RE 73732,Frankfurt(Oder) (ab 11:38),4
13:18,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:20,RE 3723,Berlin Ostbahnhof (ab 13:04),3
13:29,RE 73769,Brandenburg Hbf (ab 12:44),2
13:29,RE 73774,Frankfurt(Oder) (ab 12:08),4
13:38 (+3),RE 3720,Dessau Hbf (ab 12:05),2
13:51 (+2),RE 73729,Magdeburg Hbf (ab 12:12),2
14:07,RE 73734,Frankfurt(Oder) (ab 12:38),4
14:18,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:20,RE 3725,Berlin Ostbahnhof (ab 14:04),3
14:29,RE 73771,Brandenburg Hbf (ab 13:44),2
14:29,RE 73776,Frankfurt(Oder) (ab 13:08),4
14:38 (+3),RE 3722,Dessau Hbf (ab 13:05),2
14:46,RE 73812,Berlin Ostkreuz (ab 14:26),3
14:51 (+1),RE 73731,Magdeburg Hbf (ab 13:12),2
14:57,RB 18160,Berlin Ostbahnhof (ab 14:39),3
15:03,RB 18159,Golm (ab 14:27),1
15:07,RE 73736,Frankfurt(Oder) (ab 13:38),3
15:08,RB 73813,Brandenburg Hbf (ab 14:22),2
15:18,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:20,RE 3727,Berlin Ostbahnhof (ab 15:04),3
15:29,RE 73773,Brandenburg Hbf (ab 14:44),2
15:29,RE 73778,Frankfurt(Oder) (ab 14:08),4
15:37 (+1),IC 2034,Berlin Ostbahnhof (ab 15:21),3
15:46,RE 73814,Berlin Ostbahnhof (ab 15:30),
15:51 (+3),RE 73733,Magdeburg Hbf (ab 14:12),2
15:57,RB 18162,Berlin Ostbahnhof (ab 15:39),
16:03,RB 18161,Golm (ab 15:27),
16:07,RE 73738,Frankfurt(Oder) (ab 14:38),4
16:08,RE 73815,Brandenburg Hbf (ab 15:22),
16:18,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),
16:20,RE 3729,Troisvierges (ab 04:35),
16:29,RE 73775,Brandenburg Hbf (ab 15:44),2
16:29,RE 73780,Frankfurt(Oder) (ab 15:08),4
16:38,RE 3726,Dessau Hbf (ab 15:05),
16:46,RE 73816,Berlin Ostbahnhof (ab 16:30),3
16:51 (+7),RE 73735,Magdeburg Hbf (ab 15:12),2
16:57,RB 18164,Berlin Ostbahnhof (ab 16:39),3
17:03,RB 18163,Golm (ab 16:27),1
17:07 (+4),RE 73740,Frankfurt(Oder) (ab 15:38),4
17:08,RE 73817,Brandenburg Hbf (ab 16:22),2
17:18,RE 3126,Hennigsdorf(b Berlin) (ab 16:35),1
